,game_id,season,date,away_team,away_score,home_team,home_score,result,away_elo_i,away_elo_n,home_elo_i,home_elo_n,elo_pred
10214,212201230696,2122,2022-01-23,PHI,115,SAS,109,0,1587.5289856701465,1594.437282001351,1457.797281592732,1450.8889852615275,0
10215,212201230697,2122,2022-01-23,MEM,91,DAL,104,1,1599.5580013411159,1591.2938145917808,1596.8803235724777,1605.1445103218127,0
10216,212201230698,2122,2022-01-23,DET,111,DEN,117,1,1344.8932161280475,1342.9145577932177,1535.911979259926,1537.8906375947558,1
10217,212201230699,2122,2022-01-23,BRK,125,MIN,136,1,1558.2104132546506,1549.9660323444812,1531.3555635153932,1539.5999444255626,0
10218,212201230700,2122,2022-01-23,UTA,92,GSW,94,1,1611.2142231590287,1608.311582900539,1634.287396997937,1637.1900372564269,1
10219,212201240701,2122,2022-01-24,NYK,93,CLE,95,1,1488.373561247019,1486.4890843917308,1600.1967668865075,1602.0812437417958,1
10220,212201240702,2122,2022-01-24,IND,113,NOP,117,1,1467.8386026034796,1463.7302152322848,1473.627110104233,1477.7354974754278,1
10221,212201240703,2122,2022-01-24,CHI,111,OKC,110,0,1501.2748847487826,1504.4452259927164,1339.231407380561,1336.0610661366272,0
10222,212201240704,2122,2022-01-24,UTA,109,PHO,115,1,1608.311582900539,1604.9394890913807,1698.1002665847557,1701.472360393914,1
10223,212201250705,2122,2022-01-25,DEN,110,DET,105,0,1537.8906375947558,1542.6863970318363,1342.9145577932177,1338.1187983561372,0
10224,212201250706,2122,2022-01-25,NOP,107,PHI,117,1,1477.7354974754278,1473.788403375208,1594.437282001351,1598.3843761015708,1
10225,212201250707,2122,2022-01-25,CHO,113,TOR,125,1,1518.9878496049655,1511.2281493098249,1518.8822742924192,1526.6419745875598,0
10226,212201250708,2122,2022-01-25,LAC,116,WAS,115,0,1465.2598306196871,1470.5546035543139,1445.2217752798408,1439.927002345214,0
10227,212201250709,2122,2022-01-25,SAC,75,BOS,128,1,1356.777799775013,1348.4457785798984,1552.3031120893934,1560.635133284508,1
10228,212201250710,2122,2022-01-25,LAL,106,BRK,96,0,1463.7848176871719,1481.951702387431,1549.9660323444812,1531.799147644222,1
10229,212201250711,2122,2022-01-25,SAS,134,HOU,104,0,1450.8889852615275,1471.6755583222305,1337.328710690928,1316.542137630225,0
10230,212201250712,2122,2022-01-25,DAL,92,GSW,130,1,1605.1445103218127,1590.1525563891469,1637.1900372564269,1652.1819911890927,1
10231,212201250713,2122,2022-01-25,MIN,109,POR,107,0,1539.5999444255626,1544.9095996358571,1465.9559693776873,1460.6463141673928,0
